dExpParam,dMutationStrength,dFracKilled,dMetabolicCost,gtime,tbirth,nest_id,neststock,mom_id,num_steal,num_sucsteal,num_forage,num_sucforage,num_rentry,num_sucrentry,num_raid,num_sucraid,num_actions,int,slope,offspring,neutral_gene,popavg_dist,cue0,cue1,cue2,cue3,cue4
0.01,0.01,0.4,40,80.5414,72.3146,87,-0.893665,86,4,1,11,7,7,0,5,1,0,0.00377566,1.0251,1,0.0468444,0.000168614,85.4065,73.6382,23.9524,69.2254,94.2284,
0.01,0.01,0.4,40,80.5414,70.1421,85,-0.55061,84,2,0,10,8,7,0,6,2,0,-0.00419282,0.980697,1,0.0434272,0.000168878,85.3991,73.6386,23.9518,69.2107,94.2352,
0.01,0.01,0.4,40,80.5414,73.3427,89,-0.312399,88,1,0,12,11,7,2,1,1,0,0.00561767,0.997659,0,0.0514906,0.000185537,85.3949,73.6504,23.9429,69.2132,94.22,
0.01,0.01,0.4,40,80.5414,73.0231,88,-1.03696,86,1,0,11,10,10,3,2,0,0,0.00177388,0.988398,2,0.060297,0.000199852,85.395,73.6456,23.9463,69.2011,94.2208,
0.01,0.01,0.4,40,80.5414,73.9257,90,-0.0203556,87,2,2,12,10,9,4,0,0,0,0.0018222,0.989215,0,0.0430565,0.000165266,85.4081,73.6321,23.9559,69.2314,94.2238,
0.01,0.01,0.4,40,80.5414,75.1101,91,-0.0248022,88,1,1,13,12,8,5,1,1,0,0.00306441,1.0001,3,0.0643783,0.000158542,85.3893,73.6454,23.9578,69.221,94.2351,
0.01,0.01,0.4,40,80.5414,75.5196,93,-1.057,92,2,1,12,10,9,5,3,2,0,-0.00366682,1.00697,0,0.0484377,0.000218363,85.4025,73.6576,23.9617,69.2165,94.2275,
0.01,0.01,0.4,40,80.5414,77.1636,95,-0.275861,91,4,3,11,7,8,3,4,2,0,0.00259416,1.0052,1,0.0809437,0.000101742,85.3949,73.6203,23.9529,69.228,94.2451,
0.01,0.01,0.4,40,80.5414,76.512,94,-1.03205,91,3,3,12,9,9,5,3,2,0,0.0207116,1.00461,0,0.0695866,0.000161506,85.4052,73.6486,23.9505,69.2284,94.2376,
0.01,0.01,0.4,40,80.5414,75.2438,92,-0.232626,91,2,0,11,9,8,4,3,3,0,-0.00493739,1.00796,1,0.0655919,0.000212596,85.3942,73.6539,23.9585,69.211,94.2219,
